fwd	rev	xform	assay	target	experiment	biosample	biosample_summary	library_construction
data/processed/bigwigs/ENCSR967RHN_lower_lobe_of_left_lung_pl.bigWig	data/processed/bigwigs/ENCSR967RHN_lower_lobe_of_left_lung_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR967RHN-lower_lobe_of_left_lung	ENCSR967RHN	lower lobe of left lung	Homo sapiens lower lobe of left lung tissue female adult (59 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR757HMG_Peyer_s_patch_pl.bigWig	data/processed/bigwigs/ENCSR757HMG_Peyer_s_patch_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR757HMG-Peyer's_patch	ENCSR757HMG	Peyer's patch	Homo sapiens Peyer's patch tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR983JFU_REH_cell_pl.bigWig	data/processed/bigwigs/ENCSR983JFU_REH_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR983JFU-REH_cell	ENCSR983JFU	REH cell	Homo sapiens REH cell	capped RNA enrichment
data/processed/bigwigs/ENCSR644TYW_Colon_Carcinoma_Metastatic_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR644TYW_Colon_Carcinoma_Metastatic_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR644TYW-Colon_Carcinoma_Metastatic_in_the_Brain	ENCSR644TYW	Colon Carcinoma Metastatic in the Brain	Homo sapiens Colon Carcinoma Metastatic in the Brain tissue male adult (56 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR542IVL_testis_pl.bigWig	data/processed/bigwigs/ENCSR542IVL_testis_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR542IVL-testis	ENCSR542IVL	testis	Homo sapiens testis tissue male	capped RNA enrichment
data/processed/bigwigs/ENCSR821MIF_spleen_pl.bigWig	data/processed/bigwigs/ENCSR821MIF_spleen_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR821MIF-spleen	ENCSR821MIF	spleen	Homo sapiens spleen tissue female adult (59 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR970ACM_adrenal_gland_pl.bigWig	data/processed/bigwigs/ENCSR970ACM_adrenal_gland_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR970ACM-adrenal_gland	ENCSR970ACM	adrenal gland	Homo sapiens adrenal gland tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR484CAZ_cardiac_septum_pl.bigWig	data/processed/bigwigs/ENCSR484CAZ_cardiac_septum_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR484CAZ-cardiac_septum	ENCSR484CAZ	cardiac septum	Homo sapiens cardiac septum tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR074XYR_Colon_Carcinoma_Metastatic_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR074XYR_Colon_Carcinoma_Metastatic_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR074XYR-Colon_Carcinoma_Metastatic_in_the_Brain	ENCSR074XYR	Colon Carcinoma Metastatic in the Brain	Homo sapiens Colon Carcinoma Metastatic in the Brain tissue male adult (50 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR636RVF_skeletal_muscle_tissue_pl.bigWig	data/processed/bigwigs/ENCSR636RVF_skeletal_muscle_tissue_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR636RVF-skeletal_muscle_tissue	ENCSR636RVF	skeletal muscle tissue	Homo sapiens skeletal muscle tissue tissue female adult (42 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR122BHP_colic_lymph_node_pl.bigWig	data/processed/bigwigs/ENCSR122BHP_colic_lymph_node_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR122BHP-colic_lymph_node	ENCSR122BHP	colic lymph node	Homo sapiens colic lymph node tissue female adult (50 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR282COG_gallbladder_pl.bigWig	data/processed/bigwigs/ENCSR282COG_gallbladder_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR282COG-gallbladder	ENCSR282COG	gallbladder	Homo sapiens gallbladder tissue male adult (40 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR618ZHM_ileum_pl.bigWig	data/processed/bigwigs/ENCSR618ZHM_ileum_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR618ZHM-ileum	ENCSR618ZHM	ileum	Homo sapiens ileum tissue female adult (62 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR940QKZ_ovary_pl.bigWig	data/processed/bigwigs/ENCSR940QKZ_ovary_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR940QKZ-ovary	ENCSR940QKZ	ovary	Homo sapiens ovary tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR093JST_monocyte_pl.bigWig	data/processed/bigwigs/ENCSR093JST_monocyte_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR093JST-monocyte	ENCSR093JST	monocyte	Homo sapiens monocyte	capped RNA enrichment
data/processed/bigwigs/ENCSR331QXJ_Colon_Carcinoma_Metastatic_in_the_Lung_pl.bigWig	data/processed/bigwigs/ENCSR331QXJ_Colon_Carcinoma_Metastatic_in_the_Lung_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR331QXJ-Colon_Carcinoma_Metastatic_in_the_Lung	ENCSR331QXJ	Colon Carcinoma Metastatic in the Lung	Homo sapiens Colon Carcinoma Metastatic in the Lung tissue female adult (72 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR575NNF_right_lobe_of_liver_pl.bigWig	data/processed/bigwigs/ENCSR575NNF_right_lobe_of_liver_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR575NNF-right_lobe_of_liver	ENCSR575NNF	right lobe of liver	Homo sapiens right lobe of liver tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR915VCN_cerebral_cortex_pl.bigWig	data/processed/bigwigs/ENCSR915VCN_cerebral_cortex_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR915VCN-cerebral_cortex	ENCSR915VCN	cerebral cortex	Homo sapiens cerebral cortex tissue female adult (49 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR766KPR_ovary_pl.bigWig	data/processed/bigwigs/ENCSR766KPR_ovary_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR766KPR-ovary	ENCSR766KPR	ovary	Homo sapiens ovary tissue female adult (61 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR399LAD_uterus_pl.bigWig	data/processed/bigwigs/ENCSR399LAD_uterus_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR399LAD-uterus	ENCSR399LAD	uterus	Homo sapiens uterus tissue female adult (46 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR756CCD_thyroid_gland_pl.bigWig	data/processed/bigwigs/ENCSR756CCD_thyroid_gland_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR756CCD-thyroid_gland	ENCSR756CCD	thyroid gland	Homo sapiens thyroid gland tissue male adult (49 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR023NXW_right_common_carotid_artery_plus_branches_pl.bigWig	data/processed/bigwigs/ENCSR023NXW_right_common_carotid_artery_plus_branches_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR023NXW-right_common_carotid_artery_plus_branches	ENCSR023NXW	right common carotid artery plus branches	Homo sapiens right common carotid artery plus branches tissue	capped RNA enrichment
data/processed/bigwigs/ENCSR266TET_bronchial_lymph_node_pl.bigWig	data/processed/bigwigs/ENCSR266TET_bronchial_lymph_node_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR266TET-bronchial_lymph_node	ENCSR266TET	bronchial lymph node	Homo sapiens bronchial lymph node tissue female adult (63 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR045XAW_urinary_bladder_pl.bigWig	data/processed/bigwigs/ENCSR045XAW_urinary_bladder_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR045XAW-urinary_bladder	ENCSR045XAW	urinary bladder	Homo sapiens urinary bladder tissue female adult (67 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR934ZMQ_Metastatic_Breast_Carcinoma_in_the_Ovary_pl.bigWig	data/processed/bigwigs/ENCSR934ZMQ_Metastatic_Breast_Carcinoma_in_the_Ovary_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR934ZMQ-Metastatic_Breast_Carcinoma_in_the_Ovary	ENCSR934ZMQ	Metastatic Breast Carcinoma in the Ovary	Homo sapiens Metastatic Breast Carcinoma in the Ovary tissue female adult (43 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR118KGX_T-cell_pl.bigWig	data/processed/bigwigs/ENCSR118KGX_T-cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR118KGX-T-cell	ENCSR118KGX	T-cell	Homo sapiens with type 1 diabetes mellitus; T-cell female adult (32 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR296MTV_left_common_carotid_artery_plus_branches_pl.bigWig	data/processed/bigwigs/ENCSR296MTV_left_common_carotid_artery_plus_branches_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR296MTV-left_common_carotid_artery_plus_branches	ENCSR296MTV	left common carotid artery plus branches	Homo sapiens left common carotid artery plus branches tissue	capped RNA enrichment
data/processed/bigwigs/ENCSR212GWU_breast_pl.bigWig	data/processed/bigwigs/ENCSR212GWU_breast_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR212GWU-breast	ENCSR212GWU	breast	Homo sapiens breast tissue female adult (39 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR408RHY_adrenal_gland_pl.bigWig	data/processed/bigwigs/ENCSR408RHY_adrenal_gland_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR408RHY-adrenal_gland	ENCSR408RHY	adrenal gland	Homo sapiens adrenal gland tissue female adult (59 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR594WJV_cytotoxic_T_cell_pl.bigWig	data/processed/bigwigs/ENCSR594WJV_cytotoxic_T_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR594WJV-cytotoxic_T_cell	ENCSR594WJV	cytotoxic T cell	Homo sapiens cytotoxic T cell	capped RNA enrichment
data/processed/bigwigs/ENCSR797AOQ_spleen_pl.bigWig	data/processed/bigwigs/ENCSR797AOQ_spleen_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR797AOQ-spleen	ENCSR797AOQ	spleen	Homo sapiens spleen tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR675RBN_cerebral_cortex_pl.bigWig	data/processed/bigwigs/ENCSR675RBN_cerebral_cortex_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR675RBN-cerebral_cortex	ENCSR675RBN	cerebral cortex	Homo sapiens cerebral cortex tissue	capped RNA enrichment
data/processed/bigwigs/ENCSR812JCT_heart_left_ventricle_pl.bigWig	data/processed/bigwigs/ENCSR812JCT_heart_left_ventricle_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR812JCT-heart_left_ventricle	ENCSR812JCT	heart left ventricle	Homo sapiens heart left ventricle tissue female adult (46 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR740DLY_peripheral_blood_mononuclear_cell_pl.bigWig	data/processed/bigwigs/ENCSR740DLY_peripheral_blood_mononuclear_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR740DLY-peripheral_blood_mononuclear_cell	ENCSR740DLY	peripheral blood mononuclear cell	Homo sapiens peripheral blood mononuclear cell	capped RNA enrichment
data/processed/bigwigs/ENCSR964OON_sternocleidomastoid_pl.bigWig	data/processed/bigwigs/ENCSR964OON_sternocleidomastoid_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR964OON-sternocleidomastoid	ENCSR964OON	sternocleidomastoid	Homo sapiens sternocleidomastoid tissue	capped RNA enrichment
data/processed/bigwigs/ENCSR883PPD_right_cardiac_atrium_pl.bigWig	data/processed/bigwigs/ENCSR883PPD_right_cardiac_atrium_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR883PPD-right_cardiac_atrium	ENCSR883PPD	right cardiac atrium	Homo sapiens right cardiac atrium tissue female adult (46 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR784FKF_vermiform_appendix_pl.bigWig	data/processed/bigwigs/ENCSR784FKF_vermiform_appendix_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR784FKF-vermiform_appendix	ENCSR784FKF	vermiform appendix	Homo sapiens vermiform appendix tissue male adult (56 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR604EBH_K562_pl.bigWig	data/processed/bigwigs/ENCSR604EBH_K562_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR604EBH-K562	ENCSR604EBH	K562	Homo sapiens K562	capped RNA enrichment,PCR-free
data/processed/bigwigs/ENCSR124AWE_SUDHL5_pl.bigWig	data/processed/bigwigs/ENCSR124AWE_SUDHL5_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR124AWE-SUDHL5	ENCSR124AWE	SUDHL5	Homo sapiens SUDHL5	capped RNA enrichment
data/processed/bigwigs/ENCSR548GOG_stomach_pl.bigWig	data/processed/bigwigs/ENCSR548GOG_stomach_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR548GOG-stomach	ENCSR548GOG	stomach	Homo sapiens stomach tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR382HFH_peripheral_blood_mononuclear_cell_pl.bigWig	data/processed/bigwigs/ENCSR382HFH_peripheral_blood_mononuclear_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR382HFH-peripheral_blood_mononuclear_cell	ENCSR382HFH	peripheral blood mononuclear cell	Homo sapiens peripheral blood mononuclear cell	capped RNA enrichment
data/processed/bigwigs/ENCSR624CVP_peritoneum_pl.bigWig	data/processed/bigwigs/ENCSR624CVP_peritoneum_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR624CVP-peritoneum	ENCSR624CVP	peritoneum	Homo sapiens peritoneum tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR575EOB_Metastatic_Breast_Carcinoma_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR575EOB_Metastatic_Breast_Carcinoma_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR575EOB-Metastatic_Breast_Carcinoma_in_the_Brain	ENCSR575EOB	Metastatic Breast Carcinoma in the Brain	Homo sapiens Metastatic Breast Carcinoma in the Brain tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR701MOE_T-cell_pl.bigWig	data/processed/bigwigs/ENCSR701MOE_T-cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR701MOE-T-cell	ENCSR701MOE	T-cell	Homo sapiens with type 1 diabetes mellitus; T-cell female adult (19 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR657PSE_aorta_pl.bigWig	data/processed/bigwigs/ENCSR657PSE_aorta_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR657PSE-aorta	ENCSR657PSE	aorta	Homo sapiens aorta tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR472ETC_fallopian_tube_pl.bigWig	data/processed/bigwigs/ENCSR472ETC_fallopian_tube_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR472ETC-fallopian_tube	ENCSR472ETC	fallopian tube	Homo sapiens fallopian tube tissue female adult (46 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR077MAX_tibial_nerve_pl.bigWig	data/processed/bigwigs/ENCSR077MAX_tibial_nerve_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR077MAX-tibial_nerve	ENCSR077MAX	tibial nerve	Homo sapiens tibial nerve tissue male adult (37 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR426RMA_heart_left_ventricle_pl.bigWig	data/processed/bigwigs/ENCSR426RMA_heart_left_ventricle_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR426RMA-heart_left_ventricle	ENCSR426RMA	heart left ventricle	Homo sapiens heart left ventricle tissue male adult (40 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR489FZB_T-cell_pl.bigWig	data/processed/bigwigs/ENCSR489FZB_T-cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR489FZB-T-cell	ENCSR489FZB	T-cell	Homo sapiens T-cell	capped RNA enrichment
data/processed/bigwigs/ENCSR683FOJ_mesenteric_fat_pad_pl.bigWig	data/processed/bigwigs/ENCSR683FOJ_mesenteric_fat_pad_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR683FOJ-mesenteric_fat_pad	ENCSR683FOJ	mesenteric fat pad	Homo sapiens mesenteric fat pad tissue female adult (59 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR683YVU_helper_T_cell_pl.bigWig	data/processed/bigwigs/ENCSR683YVU_helper_T_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR683YVU-helper_T_cell	ENCSR683YVU	helper T cell	Homo sapiens helper T cell	capped RNA enrichment
data/processed/bigwigs/ENCSR574ZMF_ovary_pl.bigWig	data/processed/bigwigs/ENCSR574ZMF_ovary_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR574ZMF-ovary	ENCSR574ZMF	ovary	Homo sapiens ovary tissue female adult (59 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR245UIS_Karpas-422_pl.bigWig	data/processed/bigwigs/ENCSR245UIS_Karpas-422_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR245UIS-Karpas-422	ENCSR245UIS	Karpas-422	Homo sapiens Karpas-422	capped RNA enrichment
data/processed/bigwigs/ENCSR836XBB_rectum_pl.bigWig	data/processed/bigwigs/ENCSR836XBB_rectum_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR836XBB-rectum	ENCSR836XBB	rectum	Homo sapiens rectum tissue	capped RNA enrichment
data/processed/bigwigs/ENCSR526QVD_ureter_pl.bigWig	data/processed/bigwigs/ENCSR526QVD_ureter_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR526QVD-ureter	ENCSR526QVD	ureter	Homo sapiens ureter tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR876AEQ_Metastatic_Liver_Carcinoma_in_the_Adrenal_Gland_pl.bigWig	data/processed/bigwigs/ENCSR876AEQ_Metastatic_Liver_Carcinoma_in_the_Adrenal_Gland_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR876AEQ-Metastatic_Liver_Carcinoma_in_the_Adrenal_Gland	ENCSR876AEQ	Metastatic Liver Carcinoma in the Adrenal Gland	Homo sapiens Metastatic Liver Carcinoma in the Adrenal Gland tissue female adult (30 years)	capped RNA enrichment
